"","hashtags","Freq"
"205","LITLayZhang",0.0005351
"206","America",0.0005335
"207","QuarantineLife",0.000533
"208","Ladakh",0.0005322
"209","5DaysBanking",0.000532
"210","facemasks",0.0005313
"211","Plandemic",0.000531
"212","UyghurGenocide",0.0005296
"213","Canada",0.0005268
"214","cancelcompartmentexams2020",0.0005246
"215","Gujarat",0.0005191
"216","Kashmir",0.0005186
"217","Brexit",0.0005181
"218","mondaythoughts",0.000516
"219","Bihar",0.0005128
"220","HongKongers",0.0005127
"221","Democrats",0.0005118
"222","EnemyOfThePeople",0.0005092
"223","ThalapathyVijay",0.0005088
"224","TeamLayZhang",0.0005078
"225","WakeUpMHRD",0.0005024
"226","MtRushmore",0.0005021
"227","FreeHongKong",0.0005006
"228","FauciTheFraud",0.0004995
"229","N",0.0004993
"230","CCPs",0.0004982
"231","CancelExam2020",0.000498
"232","HKs",0.0004969
"233","WakeUpAmerica",0.0004963
"234","TheFive",0.0004954
"235","S",0.0004918
"236","KCET",0.0004916
"237","cdnpoli",0.0004912
"238","climatestrikeonline",0.0004912
"239","cancelfinalyearexam",0.0004875
"240","Bairavaa",0.000484
"241","LongCovid",0.0004832
"242","WarRoomPandemic",0.0004788
"243","California",0.0004767
"244","Uighur",0.0004724
"245","remdesivir",0.0004714
"246","EU",0.0004692
"247","Uighurs",0.0004684
"248","MSM",0.0004669
"249","SA",0.0004648
"250","Africa",0.0004588
"251","Mumbai",0.0004563
"252","coron",0.0004561
"253","EidAlAdha",0.000456
"254","PostponeNEETandJEE",0.0004533
"255","DrFauci",0.0004523
"256","Bengaluru",0.000452
"257","Obamagate",0.0004495
"258","InnerEngineeringOnline",0.0004482
"259","B",0.0004463
"260","wearamask",0.0004456
"261","FoxNews",0.0004419
"262","Co",0.0004387
"263","BeijingBiden",0.0004379
"264","TheGreatAwakening",0.0004352
"265","HappyFourthOfJuly",0.0004328
"266","3",0.0004327
"267","DeathSantis",0.0004325
"268","RadheShyam",0.0004321
"269","vir",0.0004317
"270","CHINA",0.0004314
"271","CovidHoax",0.0004281
"272","JusticeForKarnatakaStudents",0.0004267
"273","Israel",0.0004259
"274","hongkongers",0.0004247
"275","TrumpPressConference",0.000424
"276","Brazil",0.0004227
"277","ThingsIWillMissAboutLockdown",0.0004209
"278","Panorama",0.0004199
"279","IPAC",0.0004198
"280","Communication",0.000419
"281","UN",0.0004182
"282","LIVE",0.0004173
"283","5G",0.0004167
"284","Germany",0.0004153
"285","Inclusi",0.000415
"286","blood",0.0004109
"287","vi",0.0004109
"288","RecklessTrump",0.0004102
"289","Ruhspromotestudents",0.000409
"290","Japan",0.0004065
"291","cancelcompartment",0.0004061
"292","Tr",0.0004033
"293","NationalDoctorsDay",0.0004021
"294","SpeakUpForDemocracy",0.0004013
"295","Vi",0.0004002
"296","USSNimitz",4e-04
"297","FreeTibet",0.0003962
"298","hydrochloroquine",0.0003954
"299","vaccines",0.0003947
"300","RubyPrincess",0.0003943
"301","Vaccine",0.0003931
"302","CauveryCalling",0.0003914
"303","Prabhas",0.0003909
"304","CCPChina",0.0003864
"305","SriLanka",0.0003848
"306","TrumpHasNoCredibility",0.0003844
"307","folklore",0.0003831
"308","TamilNadu",0.0003825
"309","BillGates",0.0003807
"310","Indian",0.0003803
"311","Hajj",0.0003801
"312","S3599",0.0003799
"313","health",0.000379
"314","Onew",0.000379
"315","HermanCain",0.0003779
"316","ChineseCommunistParty",0.0003763
"317","BanTed",0.0003761
"318","hydroxychlor",0.0003757
"319","No2IRChinaTreaty",0.0003736
"320","Indias",0.0003733
"321","1🇬🇧UK",0.0003726
"322","1🇺🇸US",0.0003726
"323","Plasma",0.0003716
"324","schoolsreopening",0.0003716
"325","DeepState",0.0003712
"326","marr",0.0003705
"327","T",0.0003705
"328","Quarantine",0.0003693
"329","MusicBank",0.0003691
"330","SOPsToSustainSuccess",0.0003682
"331","NEET",0.0003668
"332","Update",0.0003662
"333","SHINees",0.0003655
"334","ALS",0.0003654
"335","HK",0.0003642
"336","NewYork",0.0003625
"337","Nigeria",0.0003618
"338","Bollywood",0.0003615
"339","BloodAid",0.0003614
"340","SaudiArabia",0.0003593
"341","Biden",0.0003588
"342","PMIKVoiceOfPoors",0.0003586
"343","SafeWithTwitter",0.0003574
"344","Yemen",0.0003555
"345","StayHomeStaySafe",0.0003541
"346","Urgent",0.0003527
"347","王一博",0.0003514
"348","lockdowndiaries",0.00035
"349","Nepal",0.0003492
"350","AaradhyaBachchan",0.0003484
"351","FakeNewsMedia",0.0003461
"352","Covaxin",0.0003458
"353","Maharashtra",0.0003453
"354","v",0.0003446
"355","StartALPJoiningTraining",0.000344
"356","NobodyLikesTrump",0.0003435
"357","OnlineTrainingForALP",0.0003435
"358","9News",0.0003422
"359","fakenews",0.0003421
"360","BBCBreakfast",0.0003415
"361","Mask",0.0003394
"362","StudentsInSCAgainstUGC",0.0003394
"363","PayrollSupportProgram",0.0003392
"364","Chin",0.0003382
"365","Mars",0.0003381
"366","Chengdu",0.000338
"367","EXO",0.0003378
"368","ONEV1",0.0003373
"369","MoscowMitch",0.0003369
"370","PPP",0.0003359
"371","pilots",0.0003356
"372","SaturdayMotivation",0.0003355
"373","LAC",0.0003333
"374","IStandWithFauci",0.0003332
"375","Malaysia",0.0003319
"376","RIPNTA",0.0003313
"377","lockdownextension",0.0003312
"378","Syria",0.0003307
"379","KeepYourChildHome",0.0003306
"380","1🇩🇪Germany",0.0003302
"381","mentalhealth",0.0003299
"382","Irans",0.0003273
"383","viru",0.0003265
"384","BoycottMadeInChina",0.0003264
"385","HerdImmunity",0.0003258
"386","HIV",0.0003255
"387","IndianTerroristArmy",0.0003252
"388","NoMask",0.0003246
"389","왕이보",0.0003234
"390","GalwanValley",0.0003231
"391","Hongkong",0.0003228
"392","LadakhRetributionOfIOK",0.000321
"393","FHWMPHW2800GP",0.0003204
"394","BRI",0.0003202
"395","Cuba",0.0003178
"396","promotemedicalstudents",0.0003173
"397","SmartNews",0.0003162
"398","4thofJuly",0.0003155
"399","TelanganaFights",0.0003152
"400","CovidCure",0.0003148
"401","Xitler",0.0003142
"402","frontline",0.0003138
"403","Aus",0.0003135
"404","Bigil",0.0003128
"405","UAE",0.0003121
"406","docto",0.000312
"407","trump",0.0003099
"408","Patna",0.0003083
"409","Assam",0.0003069
"410","IshaYogaCenter",0.0003065
"411","GOP",0.0003048
"412","Outbreak",0.0003045
"413","ZhangYixing",0.0003044
"414","IDIOTS",0.0003042
"415","agricultur",0.0003041
"416","HappyBirthdaySonuSood",0.0003031
"417","Election2020",0.0002988
"418","RacistInChief",0.0002979
"419","PMSurrenderModi",0.0002972
"420","N95",0.0002954
"421","Yixing",0.0002942
"422","KillerCuomos",0.0002936
"423","Floridas",0.0002934
"424","M",0.0002924
"425","alterph",0.0002918
"426","HumanRights",0.0002905
"427","NoExamsInCovid",0.0002905
"428","Galwan",0.0002897
"429","RT",0.0002895
"430","BoycottChina",0.0002879
"431","리사",0.0002877
"432","TuesdayThoughts",0.0002877
"433","Thalapathy",0.0002876
"434","Spain",0.0002868
"435","innovation",0.0002865
"436","MaskUpAmerica",0.0002864
"437","HappeningNow",0.0002846
"438","19",0.0002838
"439","collector",0.0002835
"440","WashYourHands",0.0002835
"441","durg",0.0002833
"442","excludeduk",0.0002826
"443","찬열",0.0002822
"444","hamburg",0.0002817
"445","HKPolice",0.0002807
"446","NYC",0.0002803
"447","NHSBirthday",0.0002795
"448","WangYibo",0.0002795
"449","ILLINOIS",0.000278
"450","walletpower",0.0002779
"451","news",0.0002772
"452","SoftwareInAWeekHardwareInAYear",0.000277
"453","IndianArmy",0.0002767
"454","SupportMadeInIndia",0.0002765
"455","26weekspregnant",0.0002762
"456","CHANYEOL",0.0002759
"457","healthcare",0.0002759
"458","ThreeGorgesDam",0.0002758
"459","ClimateChange",0.0002754
"460","CookCounty",0.0002753
"461","Trumps",0.0002747
"462","ItsABeautifuDayToSaveLives",0.0002726
"463","inSA",0.0002723
"464","MondayMotivation",0.0002723
"465","education",0.0002716
"466","Ch",0.0002712
"467","Thailand",0.0002712
"468","Rajasthan",0.0002706
"469","NDAA",0.0002699
"470","Armenia",0.000269
"471","alter",0.0002684
"472","WalkAway",0.0002684
"473","HowYouLikeThat",0.000268
"474","Hajj2020",0.0002675
"475","JohnLewis",0.0002668
"476","LO",0.0002665
"477","economy",0.0002664
"478","cybersecurity",0.0002658
"479","maternitypetition",0.0002651
"480","BiharFights",0.000265
"481","Xinji",0.000264
"482","Media",0.0002638
"483","cancelfinalyearexams",0.0002635
"484","BubonicPla",0.000263
"485","BigData",0.0002629
"486","CPECShinesBalochistan",0.0002629
"487","MasksOffAmerica",0.0002628
"488","France",0.0002627
"489","Kerala",0.0002622
"490","MitchMcConnell",0.000262
"491","TheReidOut",0.0002606
"492","WhyIDontLikeTrump",0.0002599
"493","btsiscoming",0.000259
"494","Warriors",0.0002589
"495","Science",0.000257
"496","Leicester",0.0002564
"497","MannKiBaat",0.000256
"498","ThalaAjith",0.0002557
"499","jakpost",0.0002553
"500","travel",0.0002544
"501","ASD",0.0002542
"502","张艺兴",0.0002526
"503","BigPharma",0.0002524
"504","News",0.0002521
"505","Health",0.0002518
"506","AmericaFirst",0.0002516
"507","webinar",0.0002514
"508","CancelExamsInCovid",0.0002512
"509","LAY",0.0002509
"510","Portland",0.0002504
"511","Ontario",0.00025
